'RATIO','INCLUDED?', 'SHEET', 'LINE', 'WORD'
71,0,,0,
67,0,,0,
46,0,,0,
100,0,,0,
59,0,,0,
53,0,,0,
100,0,,0,
67,0,,0,
86,0,,0,
100,0,,0,
59,0,,0,
94,0,,0,
100,0,,0,
47,0,,0,
50,0,,0,
93,0,,0,
100,0,,0,
75,0,,0,
86,1,stocking,5,planted
67,0,,0,
50,0,,0,
50,0,,0,
57,0,,0,
80,0,,0,
77,0,,0,
86,1,stocking,6,planted
67,0,,0,
86,0,,0,
67,0,,0,
80,0,,0,
100,0,,0,
67,0,,0,
100,0,,0,
67,0,,0,
86,1,stocking,9,planted
57,0,,0,
91,0,,0,
100,0,,0,
100,0,,0,
82,0,,0,
75,0,,0,
100,0,,0,
60,0,,0,
67,0,,0,
50,0,,0,
100,0,,0,
100,0,,0,
60,0,,0,
100,0,,0,
70,0,,0,
60,0,,0,
67,0,,0,
100,0,,0,
100,0,,0,
93,0,,0,
67,0,,0,
75,0,,0,
60,0,,0,
67,0,,0,
100,0,,0,
88,1,stocking,18,planting
50,0,,0,
100,0,,0,
82,0,,0,
67,0,,0,
46,0,,0,
67,0,,0,
86,1,stocking,20,planted
80,0,,0,
86,1,stocking,21,planted
94,0,,0,
50,0,,0,
80,0,,0,
80,0,,0,
67,0,,0,
0,0,,0,
0,0,,0,
100,0,,0,
86,1,stocking,24,planted
100,0,,0,
86,1,stocking,26,planted
75,0,,0,
86,1,stocking,27,planted
71,0,,0,
86,1,stocking,28,planted
67,0,,0,
67,0,,0,
100,0,,0,
71,0,,0,
100,0,,0,
100,0,,0,
100,0,,0,
86,1,stocking,33,planted
94,0,,0,
86,1,stocking,34,planted
67,0,,0,
43,0,,0,
50,0,,0,
60,0,,0,
12,0,,0,
100,0,,0,
86,1,stocking,36,planted
67,0,,0,
67,0,,0,
86,1,stocking,37,planted
59,0,,0,
100,0,,0,
80,0,,0,
100,0,,0,
92,0,,0,
50,0,,0,
100,0,,0,
53,0,,0,
86,1,stocking,39,planted
67,0,,0,
91,0,,0,
70,0,,0,
100,0,,0,
50,0,,0,
80,0,,0,
55,0,,0,
92,0,,0,
86,0,,0,
46,0,,0,
76,0,,0,
100,0,,0,
100,0,,0,
86,1,stocking,41,planted
67,0,,0,
46,0,,0,
0,0,,0,
86,1,stocking,42,planted
71,0,,0,
46,0,,0,
86,1,stocking,43,planted
50,0,,0,
60,0,,0,
86,1,stocking,44,planted
100,0,,0,
50,0,,0,
53,0,,0,
71,0,,0,
50,0,,0,
59,0,,0,
75,0,,0,
62,0,,0,
53,0,,0,
100,0,,0,
75,0,,0,
86,1,stocking,46,planted
67,0,,0,
50,0,,0,
0,0,,0,
57,0,,0,
60,0,,0,
67,0,,0,
60,0,,0,
60,0,,0,
59,0,,0,
100,0,,0,
59,0,,0,
73,0,,0,
50,0,,0,
100,0,,0,
88,1,stocking,49,planting
67,0,,0,
0,0,,0,
86,1,stocking,50,planted
50,0,,0,
100,0,,0,
64,0,,0,
73,0,,0,
67,0,,0,
73,0,,0,
90,1,habitat,7,vegetation
53,0,,0,
53,0,,0,
0,0,,0,
80,0,,0,
80,0,,0,
46,0,,0,
100,0,,0,
67,0,,0,
47,0,,0,
100,0,,0,
100,0,,0,
50,0,,0,
88,1,stocking,54,released
93,0,,0,
80,0,,0,
93,0,,0,
62,0,,0,
62,0,,0,
67,0,,0,
67,0,,0,
80,0,,0,
46,0,,0,
67,0,,0,
44,0,,0,
62,0,,0,
100,0,,0,
93,0,,0,
100,0,,0,
0,0,,0,
58,0,,0,
67,0,,0,
100,0,,0,
62,0,,0,
100,0,,0,
67,0,,0,
100,0,,0,
0,0,,0,
60,0,,0,
89,0,,0,
0,0,,0,
0,0,,0,
71,0,,0,
86,1,stocking,61,planted
60,0,,0,
86,1,stocking,62,planted
75,0,,0,
60,0,,0,
100,0,,0,
46,0,,0,
100,0,,0,
100,0,,0,
56,0,,0,
67,0,,0,
100,0,,0,
67,0,,0,
100,0,,0,
53,0,,0,
67,0,,0,
100,0,,0,
67,0,,0,
60,0,,0,
100,0,,0,
60,0,,0,
50,0,,0,
47,0,,0,
100,0,,0,
53,0,,0,
55,0,,0,
93,0,,0,
53,0,,0,
62,0,,0,
59,0,,0,
100,0,,0,
100,0,,0,
57,0,,0,
73,0,,0,
73,0,,0,
50,0,,0,
100,0,,0,
100,0,,0,
75,0,,0,
57,0,,0,
100,0,,0,
57,0,,0,
57,0,,0,
57,0,,0,
60,0,,0,
77,0,,0,
100,0,,0,
62,0,,0,
93,0,,0,
67,0,,0,
75,0,,0,
75,0,,0,
100,0,,0,
80,0,,0,
100,0,,0,
100,0,,0,
60,0,,0,
100,0,,0,
63,0,,0,
100,0,,0,
0,0,,0,
