"subject_id","new_key","nhdid","filename","filename_2","county","lakename","LONG_DD","LAT_DD","lake_area_ha","max_depth_m","mean_depth_m","url_1","url_2"
72990178,NA,NA,"SCHOOLCRAFT_ASHFORD_MNGM_0003_1.jpeg","SCHOOLCRAFT_ASHFORD_MNGM_0003_2.jpeg","SCHOOLCRAFT","ASHFORD ",NA,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_ASHFORD_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_ASHFORD_MNGM_0003_2.jpeg"
72990179,"75-449",44365502,"SCHOOLCRAFT_BASSBIG_MNGM_0002_1.jpeg","SCHOOLCRAFT_BASSBIG_MNGM_0002_2.jpeg","SCHOOLCRAFT","BASSBIG ",-86.47288,46.16749,115.54,6.4,3.25,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BASSBIG_MNGM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BASSBIG_MNGM_0002_2.jpeg"
72990180,"75-320",44365528,"SCHOOLCRAFT_BASSLITTLE_MNGM_0001_1.jpeg","SCHOOLCRAFT_BASSLITTLE_MNGM_0001_2.jpeg","SCHOOLCRAFT","BASSLITTLE ",-86.45038,46.1611,31.82,4.88,2.02,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BASSLITTLE_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BASSLITTLE_MNGM_0001_2.jpeg"
72990181,NA,NA,"SCHOOLCRAFT_BEATONS_MNGM_0003_1.jpeg","SCHOOLCRAFT_BEATONS_MNGM_0003_2.jpeg","SCHOOLCRAFT","BEATONS ",NA,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BEATONS_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BEATONS_MNGM_0003_2.jpeg"
72990182,"75-431",44364990,"SCHOOLCRAFT_BLUEGILL_MNGM_0002_1.jpeg","SCHOOLCRAFT_BLUEGILL_MNGM_0002_2.jpeg","SCHOOLCRAFT","BLUEGILL ",-86.47899,46.20193,10.28,9.45,3.37,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BLUEGILL_MNGM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BLUEGILL_MNGM_0002_2.jpeg"
72990183,"75-520",44365188,"SCHOOLCRAFT_BLUEJOE_MNGM_0003_1.jpeg","SCHOOLCRAFT_BLUEJOE_MNGM_0003_2.jpeg","SCHOOLCRAFT","BLUEJOE ",-86.57788,46.19582,11.2,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BLUEJOE_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BLUEJOE_MNGM_0003_2.jpeg"
72990185,"75-742",44363864,"SCHOOLCRAFT_BOOT_MNGM_0003_1.jpeg","SCHOOLCRAFT_BOOT_MNGM_0003_2.jpeg","SCHOOLCRAFT","BOOT ",-86.44732,46.26971,42.97,9.76,3.83,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BOOT_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BOOT_MNGM_0003_2.jpeg"
72990186,"75-305",NA,"SCHOOLCRAFT_BOOTJACK_MNGM_0003_1.jpeg","SCHOOLCRAFT_BOOTJACK_MNGM_0003_2.jpeg","SCHOOLCRAFT","BOOTJACK ",-86.28954,46.11138,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BOOTJACK_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BOOTJACK_MNGM_0003_2.jpeg"
72990187,"75-748",44364024,"SCHOOLCRAFT_BOOTLITTLE_MNGM_0003_1.jpeg","SCHOOLCRAFT_BOOTLITTLE_MNGM_0003_2.jpeg","SCHOOLCRAFT","BOOTLITTLE ",-86.4501,46.26304,3.75,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BOOTLITTLE_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BOOTLITTLE_MNGM_0003_2.jpeg"
72990188,"75-525",44365206,"SCHOOLCRAFT_BREVICK_MNGM_0002_1.jpeg","SCHOOLCRAFT_BREVICK_MNGM_0002_2.jpeg","SCHOOLCRAFT","BREVICK ",-86.50065,46.18999,5.54,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BREVICK_MNGM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BREVICK_MNGM_0002_2.jpeg"
72990189,"75-1020",44361960,"SCHOOLCRAFT_BUCK_MNGM_0001_1.jpeg","SCHOOLCRAFT_BUCK_MNGM_0001_2.jpeg","SCHOOLCRAFT","BUCK ",-86.19452,46.4605,8.42,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BUCK_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BUCK_MNGM_0001_2.jpeg"
